key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate
space,2.519,1,1.44,3.942222222,1.335,0,0,0,2,1,stim/fif_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,3,0.968,3.942222222,0.756,0,1,1,5,1,stim/paf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,4,1.024,3.942222222,0.323,0,2,2,3,1,stim/fof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,2,1.144,3.942222222,0.346,0,3,3,6,1,stim/piep_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.74,3.942222222,0.622,0,4,4,4,1,stim/p_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.683,3.942222222,0.411,0,5,5,0,1,stim/f_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.622,3.942222222,0.329,0,6,6,7,1,stim/pof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.527,3.942222222,0.497,0,7,7,1,1,stim/faf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.488,3.942222222,0.788,1,0,8,3,1,stim/fof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.741,3.942222222,0.423,1,1,9,6,1,stim/piep_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.636,3.942222222,0.44,1,2,10,0,1,stim/f_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.661,3.942222222,0.338,1,3,11,1,1,stim/faf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,1,0.421,3.942222222,0.297,1,4,12,7,1,stim/pof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,2,0.66,3.942222222,0.336,1,5,13,5,1,stim/paf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,3,0.326,3.942222222,0.313,1,6,14,4,1,stim/p_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,7,0.879,3.942222222,0.285,1,7,15,2,1,stim/fif_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,4,0.394,3.942222222,0.37,2,0,16,4,1,stim/p_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,5,0.62,3.942222222,0.322,2,1,17,6,1,stim/piep_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,3,0.513,3.942222222,0.314,2,2,18,3,1,stim/fof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,4,1.011,3.942222222,0.405,2,3,19,1,1,stim/faf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,4,0.502,3.942222222,0.266,2,4,20,5,1,stim/paf_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,4,0.718,3.942222222,0.287,2,5,21,0,1,stim/f_schwa_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,5,0.835,3.942222222,0.255,2,6,22,7,1,stim/pof_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
,,5,1.466,3.942222222,0.402,2,7,23,2,1,stim/fif_g.wav,,001,2022-03-13_11h22.52,vct_new,2021.2.3,MacIntel,58.82352941
