stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ins.started,ins.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,text_2.started,text_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_6.started,text_6.stopped,fun_2.started,fun_2.stopped,fought_2.started,fought_2.stopped,feel_2.started,feel_2.stopped,fool_2.started,fool_2.stopped,son_2.started,son_2.stopped,su_2.started,su_2.stopped,fin_2.started,fin_2.stopped,instructions_task_2.started,instructions_task_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_2.started,stimulus_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1,1.5479962500103284,8.042428834014572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
,,,,,,,,,,,,,8.042428834014572,None,8.042428834014572,None,8.042428834014572,None,9.623563625005772,None,space,0.6197978330019396,9.623563625005772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/pief_g.wav,0,0,0,1,,,,,,,,,,,,,,,,,,,,,10.522932333988138,None,10.522932333988138,None,10.522932333988138,None,10.522932333988138,None,10.522932333988138,None,10.522932333988138,None,10.522932333988138,None,10.283220959012397,None,4,1.2752605830028187,10.283220959012397,None,10.57331256319012,None,10.283220959012397,10.490857791999588,2.9466666666666668,1.6639169580012094,11.590698834013892,None,11.590698834013892,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/p_schwa_g.wav,0,1,1,3,,,,,,,,,,,,,,,,,,,,,13.506564334005816,None,13.506564334005816,None,13.506564334005816,None,13.506564334005816,None,13.506564334005816,None,13.506564334005816,None,13.506564334005816,None,13.27337945898762,None,4,1.2240747500036377,13.27337945898762,None,13.555787896193214,None,13.27337945898762,13.473067459010053,3.88,0.7975692919862922,14.528738499997417,None,14.528738499997417,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/feuf_g.wav,0,2,2,6,,,,,,,,,,,,,,,,,,,,,15.573220291989855,None,15.573220291989855,None,15.573220291989855,None,15.573220291989855,None,15.573220291989855,None,15.573220291989855,None,15.573220291989855,None,15.33942366699921,None,1,1.2090296240057796,15.33942366699921,None,15.623608979201526,None,15.33942366699921,15.539536333992146,3.88,0.4984750419971533,16.573167583992472,None,16.573167583992472,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/fief_g.wav,0,3,3,5,,,,,,,,,,,,,,,,,,,,,17.323324333992787,None,17.323324333992787,None,17.323324333992787,None,17.323324333992787,None,17.323324333992787,None,17.323324333992787,None,17.323324333992787,None,17.089722542004893,None,4,1.2035770410147961,17.089722542004893,None,17.373192729204312,None,17.089722542004893,17.290228291996755,3.9155555555555557,0.44821512498310767,18.323344333999557,None,18.323344333999557,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/f_schwa_g.wav,0,4,4,7,,,,,,,,,,,,,,,,,,,,,19.023235959000885,None,19.023235959000885,None,19.023235959000885,None,19.023235959000885,None,19.023235959000885,None,19.023235959000885,None,19.023235959000885,None,18.789744875015458,None,3,1.2857344990188722,18.789744875015458,None,19.073223646215048,None,18.789744875015458,18.99086029198952,4.528888888888889,1.0148930420109536,20.106745833996683,None,20.106745833996683,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/fof_g.wav,0,5,5,4,,,,,,,,,,,,,,,,,,,,,21.37321275001159,None,21.37321275001159,None,21.37321275001159,None,21.37321275001159,None,21.37321275001159,None,21.37321275001159,None,21.37321275001159,None,21.140089791995706,None,4,1.5221398749854416,21.140089791995706,None,21.42359464619367,None,21.140089791995706,21.339689417014597,2.391111111111111,1.0145087499986403,22.690288959012832,None,22.690288959012832,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/peuf_g.wav,0,6,6,2,,,,,,,,,,,,,,,,,,,,,23.956605999992462,None,23.956605999992462,None,23.956605999992462,None,23.956605999992462,None,23.956605999992462,None,23.956605999992462,None,23.956605999992462,None,23.72345024999231,None,1,1.2089847919996828,23.72345024999231,None,24.00650397918944,None,23.72345024999231,23.924110249994555,3.151111111111111,0.7321263749909122,24.95642004199908,None,24.95642004199908,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
stim/pof_g.wav,0,7,7,0,,,,,,,,,,,,,,,,,,,,,25.940683249995345,None,25.940683249995345,None,25.940683249995345,None,25.940683249995345,None,25.940683249995345,None,25.940683249995345,None,25.940683249995345,None,25.706462417001603,None,6,1.4729827489936724,25.706462417001603,None,25.990041146209116,None,25.706462417001603,25.907097624993185,3.2711111111111113,0.5480396670172922,27.20687504200032,None,27.20687504200032,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_13_1106,task,2021.2.3,60.42816375037278,
