key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
2,4.9267,space,58.1714,2,19.7765,4.967750815,14.3747,0,0,0,4,1,stim/fof_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,4,11.32,3.990746704,1.9653,0,1,1,0,1,stim/pof_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,4,12.1331,3.955764775,1.4494,0,2,2,2,1,stim/peuf_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,3,7.7855,3.99324574,2.2433,0,3,3,1,1,stim/pief_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,2,10.8773,1.032249323,4.1107,0,4,4,3,1,stim/p_schwa_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,2,7.199,1.924296276,1.2843,0,5,5,7,1,stim/f_schwa_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,3,5.2841,3.998242897,1.4786,0,6,6,5,1,stim/fief_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,4,9.3177,4.02572909,1.6072,0,7,7,6,1,stim/feuf_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,1,6.8553,2.029242976,1.1841,1,0,8,2,1,stim/peuf_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
,,,,3,3.7657,3.855815232,1.244,1,1,9,1,1,stim/pief_g.wav,613a3379edee9c64f31e9b23,001,2022-03-18_10h17.27.597,span_vct,2021.2.3,Win32,59.82292414,,,,,,,,,,,
