Timestamp,Nombre,Apellidos,Edad,Género,Lugar de residencia actual: ciudad,País,Nivel más alto de formación académica completada,¿A qué edad empezó a aprender ESPAÑOL?,¿A qué edad empezó a aprender INGLÉS?,¿A qué edad empezó a sentirse cómodo usando ESPAÑOL?    ,¿A qué edad empezó a sentirse cómodo usando INGLÉS?    ,"¿Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en ESPAÑOL?","¿Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en INGLÉS?",¿Cuántos años ha pasado en un país/región donde se habla ESPAÑOL? ,¿Cuántos años ha pasado en un país/región donde se habla INGLÉS? ,¿Cuántos años ha pasado en familia hablando ESPAÑOL?     ,¿Cuántos años ha pasado en familia hablando INGLÉS?   ,¿Cuántos años ha pasado en un ambiente de trabajo donde se habla ESPAÑOL?     ,¿Cuántos años ha pasado en un ambiente de trabajo donde se habla INGLÉS?         ,"En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL en la escuela/el trabajo? ","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS en la escuela/el trabajo? ","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS en la escuela/el trabajo? ","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en ESPAÑOL?","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en INGLÉS?","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en OTRAS LENGUAS?","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en ESPAÑOL? ","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en INGLÉS?","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en OTRAS LENGUAS?",¿Cómo habla  en ESPAÑOL? ,¿Cómo habla  en INGLÉS? ,¿Cómo entiende  en ESPAÑOL?       ,¿Cómo entiende en INGLÉS?       ,¿Cómo lee en ESPAÑOL? ,¿Cómo lee en INGLÉS? ,¿Cómo escribe en  ESPAÑOL?,¿Cómo escribe en  INGLÉS?,Me siento “yo mismo” cuando hablo en ESPAÑOL.   ,Me siento “yo mismo” cuando hablo en INGLÉS.,Me identifico con una cultura HISPANOHABLANTE,Me identifico con una cultura ANGLOHABLANTE,Es importante para mi usar (o llegar a usar) ESPAÑOL como un hablante nativo.,Es importante para mi usar (o llegar a usar) INGLÉS como un hablante nativo.,Quiero que los demás piensen que soy un hablante nativo de ESPAÑOL,Quiero que los demás piensen que soy un hablante nativo de INGLÉS.,"¿Aparte del inglés y el español, hablas una tercera lengua?",Prolific ID
3/17/2022 14:29:47,,,19,M,Hermosillo,Mexico,Un poco de universidad,Desde el nacimiento,5,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,4,,,,,,,,,no,
3/17/2022 14:30:59,,,26,M,Ciudad de México,México,Máster,Desde el nacimiento,3,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,6,6,5,,,,,,,,,no,
3/17/2022 14:31:02,,,25,F,mexico,mexico,Universidad (diplomatura/licenciatura),1,4,6,15,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,6,6,6,5,,,,,,,,,no,
3/17/2022 14:31:12,,,19,F,Aguascalientes,México,Un poco de universidad,Desde el nacimiento,7,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,5,6,3,6,3,,,,,,,,,no,
3/17/2022 14:31:17,,,22,F,Culiacán,México,Un poco de universidad,Desde el nacimiento,12,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:31:19,,,20,F,Ciudad de México,México,Un poco de universidad,Desde el nacimiento,2,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,5,6,5,,,,,,,,,no,
3/17/2022 14:31:27,,,20,M,Cd Madero,Mexico,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:31:38,,,22,F,Monterrey,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,4,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:31:53,,,22,F,mazatlan,mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,14,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,4,6,5,5,4,,,,,,,,,no,
3/17/2022 14:31:55,,,19,M,Puebla,México,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,10,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,6,5,6,6,,,,,,,,,sí,
3/17/2022 14:31:57,,,22,M,Ciudad de Mexico,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,10,Tan pronto como recuerdo.,18,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,6,6,6,5,,,,,,,,,sí,
3/17/2022 14:32:00,,,42,M,Toluca,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,12,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:32:04,,,30,F,ciudad de mexico,mexico,Máster,Desde el nacimiento,4,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
