key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,4.3575,space,12.9811,1,16.246,3,5.575,0,0,0,0,1,stim/pof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,5,14.3086,3,1.8517,0,1,1,2,1,stim/peuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,10.8956,3.008978676,12.3708,0,2,2,1,1,stim/pief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,2.2658,3.008978676,0.5949,0,3,3,5,1,stim/fief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,3.4927,3.008978676,0.5711,0,4,4,4,1,stim/fof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.7008,3.008978676,0.7998,0,5,5,3,1,stim/p_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,2.6138,3.008978676,1.1334,0,6,6,7,1,stim/f_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,7,18.0584,3.008978676,1.0865,0,7,7,6,1,stim/feuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,10.7136,3.978675645,2.0501,1,0,8,7,1,stim/f_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,7,2.8093,2.991021324,1.7039,1,1,9,5,1,stim/fief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.2356,4.975308642,1.4096,1,2,10,3,1,stim/p_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,4,4.8315,3.933782267,1.3153,1,3,11,0,1,stim/pof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,7.0141,3.920314254,1.0593,1,4,12,2,1,stim/peuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,6.4145,3.004489338,0.812,1,5,13,4,1,stim/fof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,5.4149,2.991021324,0.8271,1,6,14,6,1,stim/feuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,5.2981,3.067340067,0.4884,1,7,15,1,1,stim/pief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,2.0836,3.067340067,0.4315,2,0,16,4,1,stim/fof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,2.5829,4.023569024,0.6989,2,1,17,7,1,stim/f_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,7,2.4991,4.005611672,0.5662,2,2,18,5,1,stim/fief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,3.8824,4.005611672,0.5051,2,3,19,6,1,stim/feuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,2.9162,4.005611672,0.4827,2,4,20,2,1,stim/peuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,5.8314,3.04040404,0.9542,2,5,21,1,1,stim/pief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,5.9079,3.058361392,0.973,2,6,22,0,1,stim/pof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.3492,3.202020202,0.4108,2,7,23,3,1,stim/p_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,2.4765,3.202020202,0.3711,3,0,24,6,1,stim/feuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,7,2.5823,3.722783389,0.7167,3,1,25,5,1,stim/fief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,4.4657,3.561167228,0.7507,3,2,26,1,1,stim/pief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,2.566,2.946127946,1.4488,3,3,27,4,1,stim/fof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,6.0141,2.946127946,0.4281,3,4,28,0,1,stim/pof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.3158,2.946127946,0.44,3,5,29,3,1,stim/p_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,3.1326,2.946127946,0.5377,3,6,30,2,1,stim/peuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,2.8657,3.466891134,0.5557,3,7,31,7,1,stim/f_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,3,4.25,3.466891134,0.449,4,0,32,1,1,stim/pief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,2.7088,3.466891134,0.5551,4,1,33,6,1,stim/feuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,4.6317,3.435465769,0.3883,4,2,34,0,1,stim/pof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,6,3.0825,3.673400673,0.566,4,3,35,2,1,stim/peuf_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,7,2.583,3.673400673,0.4711,4,4,36,5,1,stim/fief_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,2,2.4161,4.01010101,0.7659,4,5,37,4,1,stim/fof_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.7159,3.920314254,0.4221,4,6,38,7,1,stim/f_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,1,3.6819,3.920314254,0.6223,4,7,39,3,1,stim/p_schwa_g.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,,,,,,,,,
,,,,,,,,,,,,,stim/peuf_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,space,12.607,6,3.0995,3.992143659,2.1372,0,0,0,2,1
,,,,,,,,,,,,,stim/feuf_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,6,2.0995,3.992143659,0.5328,0,1,1,6,1
,,,,,,,,,,,,,stim/fof_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,1,3.1827,3.992143659,0.4492,0,2,2,4,1
,,,,,,,,,,,,,stim/pof_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,1,2.0327,3.992143659,0.4821,0,3,3,0,1
,,,,,,,,,,,,,stim/f_schwa_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,1,9.1138,1.002244669,1.3538,0,4,4,7,1
,,,,,,,,,,,,,stim/fif_f.wav,5d3a11cec4066e00151de801,001,2022-03-24_09h32.23.635,task,2021.2.3,Win32,59.9880024,,,3,3.8494,2.69023569,0.6045,0,5,5,5,1
