"","level","Estimate","Est.Error","Q2.5","Q97.5","language"
"1","feel",0.120723077376909,0.0247174455102566,0.076577204481243,0.173261873304247,"English"
"2","fin",0.133042241501217,0.0363809137600836,0.0703166698616129,0.212109191752135,"Spanish"
"3","fool",0.13040452470359,0.0302591812999953,0.0779657704793023,0.194105555747183,"English"
"4","fought",0.0527441448324358,0.0228375395369952,0.0184230418382951,0.105015615143365,"English"
"5","fun",0.38199003738311,0.0524154237572763,0.280077814437328,0.485316808078938,"English"
"6","son",0.0349433790284047,0.0193570767335999,0.00813595309274272,0.0822480400497883,"Spanish"
"7","su",0.146152595174334,0.0364763092441054,0.0822490233274938,0.22599022887795,"Spanish"
