"","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1","5edcfe625cd39c9efd5cc2ae","8","8",4,4
"2","60e1d5f866e681d7e33fd01c","20+","20+",2,3
"3","5ffe6b8b773ec452c1d28adc","11","17",4,4
"4","6124d122d91be3f612508804","20+","20+",4,5
"5","5c2fae74d76cde0001c11590","13","20+",4,4
"6","6125b040ffa3c0b9e67b92c9","18","20+",5,5
"7","5e27868c5cbbcc0b3599574b","13","13",5,5
"8","565a4547c51d43000587507d","14","17",3,4
"9","60c24c8ec01a8596ba5c8b85","18","20+",6,6
"10","601e1253bbecc3279e4fb472","15","18",4,5
"11","60121fca666552254559110d","10","15",4,5
"12","60f83b167c76803d88b92d53","12","19",5,6
"13","5ef9df1812148a78af8e76dc","16","20+",4,4
"14","5bebd4111296920001d55c5a","14","20+",6,6
"15","610cb2e82784ac6af6469fc5","12","18",5,5
"16","5f9057735c69b00e72665f84","12","17",4,4
"17","5e169361afb8b0c69c239371","13","18",4,5
"18","5fed41e3e14422f5e308c6e5","14","18",5,5
"19","5dc483cf74939e34e55c3619","20+","20+",4,5
"20","60b7f09a4462d1d1aa6bbcf6","5","13",3,4
"21","5ff5f7ad932d56101bf7c90d","12","18",6,5
"22","61132361275e08754e30c2db","7","14",4,4
"23","5a08c9a7f2e3460001edb063","11","20+",3,4
"24","6105ac9411551a0880809277","20+","20+",6,6
"25","5a08ddd0df3fa800015c36ac","11","18",2,3
"26","5ef59d011c4119208ae8e40d","4","16",4,5
"27","5e647d0ce35c88208fdbbb06","14","20+",3,6
"28","5f98ab718920801c578363ab","12","13",4,5
"29","5bcc60b95c2b810001dc68e2","17","20+",3,3
"30","5898b6e256357700011c2c6b","20+","20+",5,5
"31","6109ab59c73e95d7a1f004a5","13","20+",4,3
"32","60e9cbd27102b08fc616fbe6","Since birth","20+",3,4
"33","60bc18bb8b971280ef13060c","13","20+",4,4
"34","60fe4c46e72a8b28dc55d376","17","20+",4,4
"35","61094c7cb8c79b6a734c2d0c","12","16",4,4
"36","558a9729fdf99b6567d005ab","15","17",4,4
"37","60801193150c8f60aa4884f0","15","20+",2,3
"38","5fa4c21a04bc5912180291bc","13","20+",4,2
"39","610795acedc4b47fda202f10","12","15",4,4
"40","60fd444309e999dd905f78f8","13","16",3,3
"41","5a6d5ae19d65ec00017e9bae","14","15",3,4
"42","60ca3935fb64d56e11014643","6","17",4,4
"43","61fa93245719bc09cb834c04","14","20+",3,4
"44","6107397d50df8745777f484e","13","19",5,5
"45","5f9b6cc0e01ad13902b38f60","20+","20+",3,3
"46","60fc741369c95ce0ee91b20e","13","15",4,5
"47","612f152f7d455625729c73b7","6","16",4,6
"48","5dd733664524e76dc4537fe2","13","20+",5,4
"49","5dc3841029bf8929c19e2863","11","20+",5,6
"50","5f22bdb732432502a2615f3f","12","20+",4,4
"51","5d3a11cec4066e00151de801","8","19",6,6
"52","613a9716f8d711db96ca718d","12","16",4,4
"53","60fccf14ec98489192e54358","10","16",2,3
"54","60ff89c17658f2b2015321c0","8","17",5,5
"55","606a4e5bdd2653423459653a","18","19",3,3
