"","phoneme","stim_language","choice","n","mean_rating","percentage"
"1","i","German","feel",93,3.70575612037634,0.93
"2","i","German","fool",2,2.5023411065,0.02
"3","i","German","fought",5,2.4848182884,0.05
"4","o","German","feel",1,3.008230453,0.01
"5","o","German","fool",45,3.56889341253333,0.45
"6","o","German","fought",52,2.92497182430769,0.52
"7","o","German","fun",2,2.4589645675,0.02
"8","schwa","German","feel",1,4.990852992,0.01
"9","schwa","German","fought",42,3.01368687728571,0.42
"10","schwa","German","fun",57,3.41837723884211,0.57
"11","y","German","feel",6,2.62643201616667,0.06
"12","y","German","fool",78,3.21634205358974,0.78
"13","y","German","fought",11,2.77691213018182,0.11
"14","y","German","fun",5,2.399546081,0.05
"15","i","french","feel",101,3.42682122741584,0.901785714285714
"16","i","french","fool",5,2.6015584726,0.0446428571428571
"17","i","french","fought",4,2.02547959225,0.0357142857142857
"18","i","french","fun",2,2.019451973,0.0178571428571429
"19","o","french","fool",8,2.33062480825,0.0714285714285714
"20","o","french","fought",43,2.82090442272093,0.383928571428571
"21","o","french","fun",61,3.34586508177049,0.544642857142857
"22","schwa","french","feel",16,2.1043658311875,0.142857142857143
"23","schwa","french","fool",3,3.38168801833333,0.0267857142857143
"24","schwa","french","fought",35,2.70705662657143,0.3125
"25","schwa","french","fun",58,2.62423425206897,0.517857142857143
"26","y","french","feel",5,1.8233452106,0.0446428571428571
"27","y","french","fool",77,3.25963860944156,0.6875
"28","y","french","fought",23,2.678560541,0.205357142857143
"29","y","french","fun",7,2.39660564885714,0.0625
