"","choice","language_chosen","slider.response","stim","participant","frame","stim_language","phoneme","L1","language_choice_num","choice_num"
"1","fin","span","4.033333333","stim/fif_f.wav","558a9729fdf99b6567d005ab","fricative","french","i","English",0,1
"2","fool","eng","4.007407633","stim/feuf_f.wav","558a9729fdf99b6567d005ab","fricative","french","y","English",1,2
"3","fun","eng","4.011111111","stim/p_schwa_f.wav","558a9729fdf99b6567d005ab","bilabial","french","schwa","English",1,3
"4","fin","span","3.988888889","stim/pif_f.wav","558a9729fdf99b6567d005ab","bilabial","french","i","English",0,1
"5","fun","eng","3.911111111","stim/f_schwa_f.wav","558a9729fdf99b6567d005ab","fricative","french","schwa","English",1,3
"6","fun","eng","4.066666667","stim/pof_f.wav","558a9729fdf99b6567d005ab","bilabial","french","o","English",1,3
"7","fool","eng","3.025926039","stim/peuf_f.wav","558a9729fdf99b6567d005ab","bilabial","french","y","English",1,2
"8","fun","eng","3.940740967","stim/fof_f.wav","558a9729fdf99b6567d005ab","fricative","french","o","English",1,3
"9","feel","eng","4.025926039","stim/fif_f.wav","558a9729fdf99b6567d005ab","fricative","french","i","English",1,7
"10","feel","eng","3.988888889","stim/pif_f.wav","558a9729fdf99b6567d005ab","bilabial","french","i","English",1,7
"11","fun","eng","3.966666667","stim/f_schwa_f.wav","558a9729fdf99b6567d005ab","fricative","french","schwa","English",1,3
"12","fun","eng","3.988888889","stim/fof_f.wav","558a9729fdf99b6567d005ab","fricative","french","o","English",1,3
"13","su","span","4.011111111","stim/peuf_f.wav","558a9729fdf99b6567d005ab","bilabial","french","y","English",0,6
"14","fun","eng","3.951852078","stim/pof_f.wav","558a9729fdf99b6567d005ab","bilabial","french","o","English",1,3
"15","fool","eng","4.918518745","stim/feuf_f.wav","558a9729fdf99b6567d005ab","fricative","french","y","English",1,2
"16","fun","eng","4.007407633","stim/p_schwa_f.wav","558a9729fdf99b6567d005ab","bilabial","french","schwa","English",1,3
"17","fun","eng","4.007407633","stim/fof_f.wav","558a9729fdf99b6567d005ab","fricative","french","o","English",1,3
"18","fun","eng","3.962963189","stim/pof_f.wav","558a9729fdf99b6567d005ab","bilabial","french","o","English",1,3
"19","feel","eng","4.011111111","stim/fif_f.wav","558a9729fdf99b6567d005ab","fricative","french","i","English",1,7
"20","su","span","4.925926039","stim/feuf_f.wav","558a9729fdf99b6567d005ab","fricative","french","y","English",0,6
"21","fun","eng","3.996296522","stim/f_schwa_f.wav","558a9729fdf99b6567d005ab","fricative","french","schwa","English",1,3
"22","fin","span","4.996296522","stim/pif_f.wav","558a9729fdf99b6567d005ab","bilabial","french","i","English",0,1
"23","fun","eng","3.996296522","stim/p_schwa_f.wav","558a9729fdf99b6567d005ab","bilabial","french","schwa","English",1,3
"24","su","span","4.925926039","stim/peuf_f.wav","558a9729fdf99b6567d005ab","bilabial","french","y","English",0,6
"25","fun","eng","3.966666667","stim/pof_f.wav","558a9729fdf99b6567d005ab","bilabial","french","o","English",1,3
"26","feel","eng","3.992592706","stim/fif_f.wav","558a9729fdf99b6567d005ab","fricative","french","i","English",1,7
"27","fun","eng","3.985185411","stim/p_schwa_f.wav","558a9729fdf99b6567d005ab","bilabial","french","schwa","English",1,3
"28","fool","eng","4.014814928","stim/feuf_f.wav","558a9729fdf99b6567d005ab","fricative","french","y","English",1,2
"29","fun","eng","4.096296522","stim/f_schwa_f.wav","558a9729fdf99b6567d005ab","fricative","french","schwa","English",1,3
"30","feel","eng","3.996296522","stim/pif_f.wav","558a9729fdf99b6567d005ab","bilabial","french","i","English",1,7
"31","fool","eng","4","stim/peuf_f.wav","558a9729fdf99b6567d005ab","bilabial","french","y","English",1,2
"32","fun","eng","4.877777778","stim/fof_f.wav","558a9729fdf99b6567d005ab","fricative","french","o","English",1,3
"33","fin","span","4.011111111","stim/fif_f.wav","558a9729fdf99b6567d005ab","fricative","french","i","English",0,1
"34","fin","span","3.988888889","stim/pif_f.wav","558a9729fdf99b6567d005ab","bilabial","french","i","English",0,1
"35","fun","eng","4.970370483","stim/p_schwa_f.wav","558a9729fdf99b6567d005ab","bilabial","french","schwa","English",1,3
"36","fun","eng","4.962963189","stim/fof_f.wav","558a9729fdf99b6567d005ab","fricative","french","o","English",1,3
"37","fun","eng","4.914814928","stim/f_schwa_f.wav","558a9729fdf99b6567d005ab","fricative","french","schwa","English",1,3
"38","su","span","4.029629856","stim/feuf_f.wav","558a9729fdf99b6567d005ab","fricative","french","y","English",0,6
"39","fool","eng","3.996296522","stim/peuf_f.wav","558a9729fdf99b6567d005ab","bilabial","french","y","English",1,2
"40","fun","eng","4.9740743","stim/pof_f.wav","558a9729fdf99b6567d005ab","bilabial","french","o","English",1,3
"41","fin","span","2.577235772","stim/p_schwa_f.wav","565a4547c51d43000587507d","bilabial","french","schwa","English",0,1
"42","fin","span","1.029268293","stim/f_schwa_f.wav","565a4547c51d43000587507d","fricative","french","schwa","English",0,1
"43","su","span","3.019512195","stim/peuf_f.wav","565a4547c51d43000587507d","bilabial","french","y","English",0,6
"44","fin","span","1.985365854","stim/pif_f.wav","565a4547c51d43000587507d","bilabial","french","i","English",0,1
"45","fin","span","2.043902439","stim/fif_f.wav","565a4547c51d43000587507d","fricative","french","i","English",0,1
"46","su","span","1.965853659","stim/feuf_f.wav","565a4547c51d43000587507d","fricative","french","y","English",0,6
"47","fun","eng","1.998373984","stim/fof_f.wav","565a4547c51d43000587507d","fricative","french","o","English",1,3
"48","fun","eng","1.972357724","stim/pof_f.wav","565a4547c51d43000587507d","bilabial","french","o","English",1,3
"49","fin","span","3","stim/fif_f.wav","565a4547c51d43000587507d","fricative","french","i","English",0,1
"50","fool","eng","2.993495935","stim/feuf_f.wav","565a4547c51d43000587507d","fricative","french","y","English",1,2
"51","feel","eng","3","stim/pif_f.wav","565a4547c51d43000587507d","bilabial","french","i","English",1,7
"52","fin","span","1.035772358","stim/f_schwa_f.wav","565a4547c51d43000587507d","fricative","french","schwa","English",0,1
"53","fun","eng","1.055284553","stim/fof_f.wav","565a4547c51d43000587507d","fricative","french","o","English",1,3
"54","fought","eng","1.074796748","stim/p_schwa_f.wav","565a4547c51d43000587507d","bilabial","french","schwa","English",1,4
"55","su","span","2.993495935","stim/peuf_f.wav","565a4547c51d43000587507d","bilabial","french","y","English",0,6
"56","fun","eng","3.032520325","stim/pof_f.wav","565a4547c51d43000587507d","bilabial","french","o","English",1,3
"57","fun","eng","2.96097561","stim/fof_f.wav","565a4547c51d43000587507d","fricative","french","o","English",1,3
"58","fin","span","3.962601626","stim/fif_f.wav","565a4547c51d43000587507d","fricative","french","i","English",0,1
"59","feel","eng","1.978861789","stim/pif_f.wav","565a4547c51d43000587507d","bilabial","french","i","English",1,7
"60","fin","span","1.003252033","stim/f_schwa_f.wav","565a4547c51d43000587507d","fricative","french","schwa","English",0,1
"61","su","span","2.97398374","stim/peuf_f.wav","565a4547c51d43000587507d","bilabial","french","y","English",0,6
"62","fool","eng","4.027642276","stim/feuf_f.wav","565a4547c51d43000587507d","fricative","french","y","English",1,2
"63","fun","eng","3.917073171","stim/pof_f.wav","565a4547c51d43000587507d","bilabial","french","o","English",1,3
"64","fin","span","1.016260163","stim/p_schwa_f.wav","565a4547c51d43000587507d","bilabial","french","schwa","English",0,1
"65","fin","span","2.024390244","stim/pif_f.wav","565a4547c51d43000587507d","bilabial","french","i","English",0,1
"66","fun","eng","3.03902439","stim/fof_f.wav","565a4547c51d43000587507d","fricative","french","o","English",1,3
"67","feel","eng","2.98699187","stim/fif_f.wav","565a4547c51d43000587507d","fricative","french","i","English",1,7
"68","fun","eng","3.03902439","stim/pof_f.wav","565a4547c51d43000587507d","bilabial","french","o","English",1,3
"69","su","span","3.006504065","stim/feuf_f.wav","565a4547c51d43000587507d","fricative","french","y","English",0,6
"70","fin","span","1.016260163","stim/f_schwa_f.wav","565a4547c51d43000587507d","fricative","french","schwa","English",0,1
"71","su","span","3.01300813","stim/peuf_f.wav","565a4547c51d43000587507d","bilabial","french","y","English",0,6
"72","fin","span","1.003252033","stim/p_schwa_f.wav","565a4547c51d43000587507d","bilabial","french","schwa","English",0,1
"73","fin","span","1.022764228","stim/p_schwa_f.wav","565a4547c51d43000587507d","bilabial","french","schwa","English",0,1
"74","fun","eng","4.040650407","stim/pof_f.wav","565a4547c51d43000587507d","bilabial","french","o","English",1,3
"75","feel","eng","3.01300813","stim/fif_f.wav","565a4547c51d43000587507d","fricative","french","i","English",1,7
"76","fin","span","1.016260163","stim/f_schwa_f.wav","565a4547c51d43000587507d","fricative","french","schwa","English",0,1
"77","su","span","4.079674797","stim/feuf_f.wav","565a4547c51d43000587507d","fricative","french","y","English",0,6
"78","fin","span","2.96097561","stim/pif_f.wav","565a4547c51d43000587507d","bilabial","french","i","English",0,1
"79","fun","eng","3.975609756","stim/fof_f.wav","565a4547c51d43000587507d","fricative","french","o","English",1,3
"80","su","span","2.967479675","stim/peuf_f.wav","565a4547c51d43000587507d","bilabial","french","y","English",0,6
"81","fought","eng","1.742857143","stim/p_schwa_f.wav","5898b6e256357700011c2c6b","bilabial","french","schwa","English",1,4
"82","fool","eng","1.36952381","stim/pif_f.wav","5898b6e256357700011c2c6b","bilabial","french","i","English",1,2
"83","fool","eng","1.36952381","stim/fif_f.wav","5898b6e256357700011c2c6b","fricative","french","i","English",1,2
"84","feel","eng","1.373333333","stim/pof_f.wav","5898b6e256357700011c2c6b","bilabial","french","o","English",1,7
"85","feel","eng","1.377142857","stim/f_schwa_f.wav","5898b6e256357700011c2c6b","fricative","french","schwa","English",1,7
"86","feel","eng","1.377142857","stim/feuf_f.wav","5898b6e256357700011c2c6b","fricative","french","y","English",1,7
"87","feel","eng","1.380952381","stim/fof_f.wav","5898b6e256357700011c2c6b","fricative","french","o","English",1,7
"88","fool","eng","1.384761905","stim/peuf_f.wav","5898b6e256357700011c2c6b","bilabial","french","y","English",1,2
"89","feel","eng","1.384761905","stim/pof_f.wav","5898b6e256357700011c2c6b","bilabial","french","o","English",1,7
"90","fool","eng","1.392380952","stim/fif_f.wav","5898b6e256357700011c2c6b","fricative","french","i","English",1,2
"91","fought","eng","1.392380952","stim/p_schwa_f.wav","5898b6e256357700011c2c6b","bilabial","french","schwa","English",1,4
"92","feel","eng","1.392380952","stim/fof_f.wav","5898b6e256357700011c2c6b","fricative","french","o","English",1,7
"93","feel","eng","1.392380952","stim/pif_f.wav","5898b6e256357700011c2c6b","bilabial","french","i","English",1,7
"94","feel","eng","1.392380952","stim/feuf_f.wav","5898b6e256357700011c2c6b","fricative","french","y","English",1,7
"95","fool","eng","1.392380952","stim/f_schwa_f.wav","5898b6e256357700011c2c6b","fricative","french","schwa","English",1,2
"96","fought","eng","1.392380952","stim/peuf_f.wav","5898b6e256357700011c2c6b","bilabial","french","y","English",1,4
"97","feel","eng","1.392380952","stim/p_schwa_f.wav","5898b6e256357700011c2c6b","bilabial","french","schwa","English",1,7
"98","fought","eng","1.392380952","stim/pof_f.wav","5898b6e256357700011c2c6b","bilabial","french","o","English",1,4
"99","fool","eng","1.392380952","stim/pif_f.wav","5898b6e256357700011c2c6b","bilabial","french","i","English",1,2
"100","fool","eng","1.392380952","stim/fif_f.wav","5898b6e256357700011c2c6b","fricative","french","i","English",1,2
"101","fought","eng","1.392380952","stim/f_schwa_f.wav","5898b6e256357700011c2c6b","fricative","french","schwa","English",1,4
"102","feel","eng","1.392380952","stim/peuf_f.wav","5898b6e256357700011c2c6b","bilabial","french","y","English",1,7
"103","fool","eng","1.392380952","stim/fof_f.wav","5898b6e256357700011c2c6b","fricative","french","o","English",1,2
"104","feel","eng","1.392380952","stim/feuf_f.wav","5898b6e256357700011c2c6b","fricative","french","y","English",1,7
"105","feel","eng","1.392380952","stim/fif_f.wav","5898b6e256357700011c2c6b","fricative","french","i","English",1,7
"106","feel","eng","1.396190476","stim/feuf_f.wav","5898b6e256357700011c2c6b","fricative","french","y","English",1,7
"107","fool","eng","1.396190476","stim/fof_f.wav","5898b6e256357700011c2c6b","fricative","french","o","English",1,2
"108","feel","eng","1.396190476","stim/peuf_f.wav","5898b6e256357700011c2c6b","bilabial","french","y","English",1,7
"109","fun","eng","1.396190476","stim/f_schwa_f.wav","5898b6e256357700011c2c6b","fricative","french","schwa","English",1,3
"110","feel","eng","1.396190476","stim/pif_f.wav","5898b6e256357700011c2c6b","bilabial","french","i","English",1,7
"111","fought","eng","1.396190476","stim/p_schwa_f.wav","5898b6e256357700011c2c6b","bilabial","french","schwa","English",1,4
"112","fought","eng","1.396190476","stim/pof_f.wav","5898b6e256357700011c2c6b","bilabial","french","o","English",1,4
"113","fought","eng","1.396190476","stim/pof_f.wav","5898b6e256357700011c2c6b","bilabial","french","o","English",1,4
"114","fool","eng","1.396190476","stim/fif_f.wav","5898b6e256357700011c2c6b","fricative","french","i","English",1,2
"115","fought","eng","1.396190476","stim/fof_f.wav","5898b6e256357700011c2c6b","fricative","french","o","English",1,4
"116","fool","eng","1.396190476","stim/feuf_f.wav","5898b6e256357700011c2c6b","fricative","french","y","English",1,2
"117","fool","eng","1.396190476","stim/peuf_f.wav","5898b6e256357700011c2c6b","bilabial","french","y","English",1,2
"118","fun","eng","1.396190476","stim/f_schwa_f.wav","5898b6e256357700011c2c6b","fricative","french","schwa","English",1,3
"119","fought","eng","1.396190476","stim/p_schwa_f.wav","5898b6e256357700011c2c6b","bilabial","french","schwa","English",1,4
"120","feel","eng","1.396190476","stim/pif_f.wav","5898b6e256357700011c2c6b","bilabial","french","i","English",1,7
"121","fun","eng","3.985185185","stim/f_schwa_f.wav","5a08c9a7f2e3460001edb063","fricative","french","schwa","English",1,3
"122","fun","eng","2.992592593","stim/fof_f.wav","5a08c9a7f2e3460001edb063","fricative","french","o","English",1,3
"123","su","span","4.011111111","stim/feuf_f.wav","5a08c9a7f2e3460001edb063","fricative","french","y","English",0,6
"124","fun","eng","3.02962963","stim/p_schwa_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","schwa","English",1,3
"125","feel","eng","4.033333333","stim/pif_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","i","English",1,7
"126","fin","span","3.996296296","stim/fif_f.wav","5a08c9a7f2e3460001edb063","fricative","french","i","English",0,1
"127","su","span","3.996296296","stim/peuf_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","y","English",0,6
"128","fool","eng","3.014814815","stim/pof_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","o","English",1,2
"129","su","span","3.985185185","stim/peuf_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","y","English",0,6
"130","feel","eng","4.003703704","stim/fif_f.wav","5a08c9a7f2e3460001edb063","fricative","french","i","English",1,7
"131","fun","eng","4.003703704","stim/pof_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","o","English",1,3
"132","fun","eng","4.033333333","stim/f_schwa_f.wav","5a08c9a7f2e3460001edb063","fricative","french","schwa","English",1,3
"133","fun","eng","4.014814815","stim/p_schwa_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","schwa","English",1,3
"134","su","span","4.988888889","stim/feuf_f.wav","5a08c9a7f2e3460001edb063","fricative","french","y","English",0,6
"135","fun","eng","3.981481481","stim/fof_f.wav","5a08c9a7f2e3460001edb063","fricative","french","o","English",1,3
"136","feel","eng","3.981481481","stim/pif_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","i","English",1,7
"137","fun","eng","3.981481481","stim/feuf_f.wav","5a08c9a7f2e3460001edb063","fricative","french","y","English",1,3
"138","fun","eng","4.996296296","stim/f_schwa_f.wav","5a08c9a7f2e3460001edb063","fricative","french","schwa","English",1,3
"139","fool","eng","3.007407407","stim/fof_f.wav","5a08c9a7f2e3460001edb063","fricative","french","o","English",1,2
"140","feel","eng","4","stim/fif_f.wav","5a08c9a7f2e3460001edb063","fricative","french","i","English",1,7
"141","fun","eng","4","stim/pof_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","o","English",1,3
"142","fun","eng","3.003703704","stim/p_schwa_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","schwa","English",1,3
"143","fin","span","3.007407407","stim/pif_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","i","English",0,1
"144","su","span","4.014814815","stim/peuf_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","y","English",0,6
"145","fin","span","2.981481481","stim/fif_f.wav","5a08c9a7f2e3460001edb063","fricative","french","i","English",0,1
"146","su","span","3.97037037","stim/peuf_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","y","English",0,6
"147","fought","eng","2.025925926","stim/fof_f.wav","5a08c9a7f2e3460001edb063","fricative","french","o","English",1,4
"148","fun","eng","4.988888889","stim/f_schwa_f.wav","5a08c9a7f2e3460001edb063","fricative","french","schwa","English",1,3
"149","fool","eng","5","stim/feuf_f.wav","5a08c9a7f2e3460001edb063","fricative","french","y","English",1,2
"150","feel","eng","3.014814815","stim/pif_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","i","English",1,7
"151","fun","eng","3.985185185","stim/pof_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","o","English",1,3
"152","fun","eng","3.985185185","stim/p_schwa_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","schwa","English",1,3
"153","su","span","4.981481481","stim/peuf_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","y","English",0,6
"154","feel","eng","3.985185185","stim/fif_f.wav","5a08c9a7f2e3460001edb063","fricative","french","i","English",1,7
"155","fool","eng","4","stim/fof_f.wav","5a08c9a7f2e3460001edb063","fricative","french","o","English",1,2
"156","fool","eng","4","stim/pof_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","o","English",1,2
"157","su","span","4.97037037","stim/feuf_f.wav","5a08c9a7f2e3460001edb063","fricative","french","y","English",0,6
"158","feel","eng","2.977777778","stim/pif_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","i","English",1,7
"159","fun","eng","2.014814815","stim/f_schwa_f.wav","5a08c9a7f2e3460001edb063","fricative","french","schwa","English",1,3
"160","fun","eng","2.014814815","stim/p_schwa_f.wav","5a08c9a7f2e3460001edb063","bilabial","french","schwa","English",1,3
"161","su","span","3.413888889","stim/feuf_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","y","English",0,6
"162","fun","eng","3.45","stim/f_schwa_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","schwa","English",1,3
"163","fought","eng","2.752777778","stim/fof_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","o","English",1,4
"164","fun","eng","3.013888889","stim/pof_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","o","English",1,3
"165","fun","eng","2.811111111","stim/p_schwa_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","schwa","English",1,3
"166","fin","span","3.519444444","stim/pif_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","i","English",0,1
"167","su","span","3.138888889","stim/peuf_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","y","English",0,6
"168","fin","span","3.9","stim/fif_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","i","English",0,1
"169","fun","eng","3.586111111","stim/fof_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","o","English",1,3
"170","fun","eng","2.980555556","stim/f_schwa_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","schwa","English",1,3
"171","fun","eng","2.608333333","stim/p_schwa_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","schwa","English",1,3
"172","su","span","3.469444444","stim/peuf_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","y","English",0,6
"173","fin","span","3.216666667","stim/fif_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","i","English",0,1
"174","su","span","3.638888889","stim/feuf_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","y","English",0,6
"175","fin","span","3.533333333","stim/pif_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","i","English",0,1
"176","fun","eng","2.697222222","stim/pof_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","o","English",1,3
"177","fought","eng","1.413888889","stim/f_schwa_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","schwa","English",1,4
"178","feel","eng","3.208333333","stim/fif_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","i","English",1,7
"179","fin","span","3.816666667","stim/pif_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","i","English",0,1
"180","fool","eng","2.275","stim/peuf_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","y","English",1,2
"181","fun","eng","2.108333333","stim/p_schwa_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","schwa","English",1,3
"182","fun","eng","3.227777778","stim/pof_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","o","English",1,3
"183","su","span","3.372222222","stim/feuf_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","y","English",0,6
"184","fun","eng","3.494444444","stim/fof_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","o","English",1,3
"185","fun","eng","2.758333333","stim/f_schwa_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","schwa","English",1,3
"186","fin","span","3.486111111","stim/fif_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","i","English",0,1
"187","su","span","2.861111111","stim/feuf_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","y","English",0,6
"188","su","span","3.666666667","stim/peuf_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","y","English",0,6
"189","su","span","2.377777778","stim/pof_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","o","English",0,6
"190","son","span","2.519444444","stim/p_schwa_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","schwa","English",0,5
"191","son","span","2.530555556","stim/fof_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","o","English",0,5
"192","fin","span","3.325","stim/pif_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","i","English",0,1
"193","su","span","3.536111111","stim/feuf_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","y","English",0,6
"194","fun","eng","2.291666667","stim/p_schwa_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","schwa","English",1,3
"195","fin","span","3.513888889","stim/pif_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","i","English",0,1
"196","fun","eng","3.280555556","stim/pof_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","o","English",1,3
"197","fun","eng","3.294444444","stim/fof_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","o","English",1,3
"198","son","span","1.538888889","stim/f_schwa_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","schwa","English",0,5
"199","su","span","4.005555556","stim/peuf_f.wav","5a08ddd0df3fa800015c36ac","bilabial","french","y","English",0,6
"200","fin","span","3.966666667","stim/fif_f.wav","5a08ddd0df3fa800015c36ac","fricative","french","i","English",0,1
"201","fun","eng","3.014814871","stim/fof_f.wav","5a5479b4ac56240001537ffa","fricative","french","o","English",1,3
"202","fin","span","2.014814871","stim/p_schwa_f.wav","5a5479b4ac56240001537ffa","bilabial","french","schwa","English",0,1
"203","fool","eng","2.014814871","stim/peuf_f.wav","5a5479b4ac56240001537ffa","bilabial","french","y","English",1,2
"204","feel","eng","4.022222166","stim/pif_f.wav","5a5479b4ac56240001537ffa","bilabial","french","i","English",1,7
"205","fun","eng","1.977777834","stim/pof_f.wav","5a5479b4ac56240001537ffa","bilabial","french","o","English",1,3
"206","fin","span","1.051851908","stim/f_schwa_f.wav","5a5479b4ac56240001537ffa","fricative","french","schwa","English",0,1
"207","feel","eng","3.03333339","stim/fif_f.wav","5a5479b4ac56240001537ffa","fricative","french","i","English",1,7
