"","X","phoneme","choice","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__","language","stim_language","L1","total_prob","total_prob_upper","total_prob_lower","conditional_prob","conditional_prob_upper","conditional_prob_lower"
"1",29,"i","feel",NA,1,"feel","i","feel",0.610759038688384,0.0371211639900174,0.534981806085462,0.682957271627577,"English","German","Spanish",0.628452163411285,0.724351089165286,0.541472142534581,0.971846505186868,0.942853930701741,0.988013535804929
"2",37,"i","feel",NA,1,"fool","i","fool",0.00653738591362428,0.00310231206220361,0.00215819390497488,0.0151364285412857,"English","German","Spanish",0.628452163411285,0.724351089165286,0.541472142534581,0.010402360424919,0.0208965359032294,0.003985789360968
"3",41,"i","feel",NA,1,"fought","i","fought",0.0102007972601113,0.00392122685852924,0.00429943362901801,0.0206313969363157,"English","German","Spanish",0.628452163411285,0.724351089165286,0.541472142534581,0.0162316208838245,0.0284825925506518,0.00794026745105068
"4",45,"i","feel",NA,1,"fun","i","fun",0.000954941549165468,0.000982259828634629,3.27089151262968e-05,0.00562599206010765,"English","German","Spanish",0.628452163411285,0.724351089165286,0.541472142534581,0.00151951350438826,0.00776694084437814,6.04073830524122e-05
"5",1,"i","feel",NA,1,"feel","i","feel",0.460441670629481,0.0479620877689426,0.366949533729658,0.554493839412305,"English","French","Spanish",0.530568638005651,0.676476680506163,0.405477276839455,0.86782677611747,0.819679163215817,0.9049817454381
"6",9,"i","feel",NA,1,"fool","i","fool",0.0298402129877808,0.00781715007549529,0.0172569912493355,0.0494546827523012,"English","French","Spanish",0.530568638005651,0.676476680506163,0.405477276839455,0.0562419465650041,0.0731062639369882,0.0425596999759082
"7",13,"i","feel",NA,1,"fought","i","fought",0.0242187655604638,0.00653744245557943,0.0136332478435614,0.0419075298390819,"English","French","Spanish",0.530568638005651,0.676476680506163,0.405477276839455,0.0456468095277917,0.0619497035843501,0.0336227172822791
"8",17,"i","feel",NA,1,"fun","i","fun",0.0160679888279253,0.00554290979051471,0.00763750401690042,0.0306206285024749,"English","French","Spanish",0.530568638005651,0.676476680506163,0.405477276839455,0.0302844677897342,0.0452648692628451,0.0188358373037126
"9",30,"o","feel",NA,1,"feel","o","feel",0.0109282897490691,0.00455954670985809,0.00422749634719956,0.0229297801582104,"English","German","Spanish",0.919802002835412,1.0848473671575,0.767237684517767,0.0118811328039961,0.0211364113076023,0.00551002177357421
"10",38,"o","feel",NA,1,"fool","o","fool",0.272519269421546,0.0327113675488736,0.212958917048733,0.337393431527302,"English","German","Spanish",0.919802002835412,1.0848473671575,0.767237684517767,0.296280360970588,0.311005438867714,0.277565767878808
