"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","Condition_Id","eng","english_recording","German_recording","langs","other_lang","prolific_id","spanish_recording","word","word_58ead","word_french","word_french_recording","word_german","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",1,"prolific_id","1","1","1","option_1","","","false","no","615b613de1aeca77a48c4125","","","","","","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","1","9","3","","","","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_1_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","2","17","6","","","","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_2_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","3","13","5","","","","","","","","","","f_i","blockNr_1_taskNr_3_trialNr_3_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","4","6","2","","","","","","","","","","p_schwa","blockNr_1_taskNr_3_trialNr_4_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","5","24","8","","","","","","","","","","p_o","blockNr_1_taskNr_3_trialNr_5_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","6","10","4","","","","","","","","","","p_u","blockNr_1_taskNr_3_trialNr_6_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","7","8","3","","","","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_7_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","8","16","6","","","","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_8_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","9","15","5","","","","","","","","","","f_i","blockNr_1_taskNr_3_trialNr_9_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","10","4","2","","","","","","","","","","p_schwa","blockNr_1_taskNr_3_trialNr_10_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","11","23","8","","","","","","","","","","p_o","blockNr_1_taskNr_3_trialNr_11_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","12","19","7","","","","","","","","","","f_o","blockNr_1_taskNr_3_trialNr_12_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","13","7","3","","","","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_13_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","14","11","4","","","","","","","","","","p_u","blockNr_1_taskNr_3_trialNr_14_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","15","18","6","","","","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_15_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
1,"block_1",3,"French","16","22","8","","","","","","","","","","p_o","blockNr_1_taskNr_3_trialNr_16_french_recording.wav","","yes","","","2022-06-27T17:35:30.000Z",447490,"group_1",509322,"session_1",1,"2022-06-27T17:26:05.000Z","","","","not measured","",true
