session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Record Audio,Sex,Student Status
62a8d15f547ccbe4a1eb299e,5df4565dfeea89323021ef27,RETURNED,2022-06-14 18:20:32.978000,,269669.806984,65,2198,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d1a0579e78284d56ee9b,59c6305e6a287600011c388d,RETURNED,2022-06-14 18:21:40.355000,,269602.445496,29,2909,25,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d29e03c60f8c17060e90,606a3cf263a18869ac8ee0ed,APPROVED,2022-06-14 18:25:39.301000,2022-06-14 19:36:11.039000,4231.738,56,1475,10,99,2022-06-17 17:12:36.556000,NO CODE,United States,United States,Part-Time,English,English,United States,Yes,Female,No
62a8d3320435e7010ee6aebf,5f49f3262a3d07563d14a7f1,RETURNED,2022-06-14 18:38:02.587000,,268620.238234,28,1392,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d340ad32c6a60be68b7a,61522d0491dd847aa72155ed,RETURNED,2022-06-14 18:28:43.525000,,269179.31526,31,879,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d35000f254f7ad6e70f1,61084d4214248ad7ba69ae8e,APPROVED,2022-06-14 18:29:24.046000,2022-06-14 19:11:57.765000,2553.719,27,152,0,100,2022-06-17 17:12:36.706000,NOCODE,United States,United States,Other,English,English,United States,Yes,Female,Yes
62a8d41bc9d8ea3eff8c0cc6,602d74a9cfd5ef7c52c83805,APPROVED,2022-06-14 18:31:57.521000,2022-06-14 18:51:09.868000,1152.347,35,774,6,99,2022-06-17 17:12:36.766000,NOCODE it just said thank you the experiment is finished,United States,United States,Unemployed (and job seeking),English,English,United States,Yes,Male,No
62a8d5db12067bb0a3abb473,5d0b7d3a1c9a4e001a11dd19,RETURNED,2022-06-14 18:39:25.553000,,268537.343414,28,1081,11,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d5e0e96a4ba29174917b,5977e3867412f8000194e1fe,APPROVED,2022-06-14 18:39:36.501000,2022-06-14 19:05:04.762000,1528.261,42,3743,15,99,2022-06-17 17:12:36.847000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Male,No
62a8d6415d768b88c6832cb6,5b48f2d0ff7497000125165e,RETURNED,2022-06-14 18:41:10.959000,,268431.973899,31,1718,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
