"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","Condition_Id","english_recording","German_recording","prolific_id","spanish_recording","word","word_d7c64","word_french","word_french_recording","word_german","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",1,"prolific_id","1","1","1","","","602d74a9cfd5ef7c52c83805","","","","","","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","1","1","1","","","","","","","f_schwa","blockNr_1_taskNr_3_trialNr_1_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","2","16","6","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_2_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","3","13","5","","","","","","","f_i","blockNr_1_taskNr_3_trialNr_3_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","4","6","2","","","","","","","p_schwa","blockNr_1_taskNr_3_trialNr_4_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","5","12","4","","","","","","","p_u","blockNr_1_taskNr_3_trialNr_5_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","6","17","6","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_6_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","7","7","3","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_7_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","8","22","8","","","","","","","p_o","blockNr_1_taskNr_3_trialNr_8_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","9","3","1","","","","","","","f_schwa","blockNr_1_taskNr_3_trialNr_9_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","10","23","8","","","","","","","p_o","blockNr_1_taskNr_3_trialNr_10_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","11","21","7","","","","","","","f_o","blockNr_1_taskNr_3_trialNr_11_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","12","9","3","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_12_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","13","11","4","","","","","","","p_u","blockNr_1_taskNr_3_trialNr_13_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","14","19","7","","","","","","","f_o","blockNr_1_taskNr_3_trialNr_14_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","15","2","1","","","","","","","f_schwa","blockNr_1_taskNr_3_trialNr_15_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","16","18","6","","","","","","","p_i","blockNr_1_taskNr_3_trialNr_16_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","17","4","2","","","","","","","p_schwa","blockNr_1_taskNr_3_trialNr_17_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","18","20","7","","","","","","","f_o","blockNr_1_taskNr_3_trialNr_18_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
1,"block_1",3,"French","19","8","3","","","","","","","f_u","blockNr_1_taskNr_3_trialNr_19_french_recording.wav","","yes","","","2022-06-14T18:49:57.000Z",441461,"group_1",500392,"session_1",1,"2022-06-14T18:32:04.000Z","","","","not measured","",true
