stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,check.keys,check.rt,check.started,check.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ins.started,ins.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,text_2.started,text_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_6.started,text_6.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_7.started,text_7.stopped,son_2.started,son_2.stopped,su_2.started,su_2.stopped,fin_2.started,fin_2.stopped,instructions_task_2.started,instructions_task_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_2.started,stimulus_2.stopped,text.started,text.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_9.started,text_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1,2.7007296239899006,7.636726041993825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
,,,,,,,,,,,,,7.636726041993825,None,7.636726041993825,None,7.636726041993825,None,10.367246750014601,None,space,0.7040697080083191,10.367246750014601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/pof_g.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11.350798667001072,None,11.350798667001072,None,11.350798667001072,None,11.115711958991596,None,5,1.8575857490068302,11.115711958991596,None,11.400278691592394,None,11.115711958991596,11.31668683400494,3.062222222222222,1.2148622920212802,13.006141209014459,None,13.006141209014459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/peuf_g.wav,0,1,1,2,,,,,,,,,,,,,,,,,,,,,14.467674959014403,None,14.467674959014403,None,14.467674959014403,None,14.233563624991802,None,5,0.767502875009086,14.233563624991802,None,14.517145441594767,None,14.233563624991802,14.434583124995697,3.1422222222222222,0.48195470799691975,15.033251167013077,None,15.033251167013077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/f_schwa_g.wav,0,2,2,7,,,,,,,,,,,,,,,,,,,,,15.767272208991926,None,15.767272208991926,None,15.767272208991926,None,15.533449874987127,None,5,1.004979416000424,15.533449874987127,None,15.817308816604783,None,15.533449874987127,15.734805499989307,3.062222222222222,0.7658539999974892,16.577599167008884,None,16.577599167008884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/feuf_g.wav,0,3,3,6,,,,,,,,,,,,,,,,,,,,,17.583867667010054,None,17.583867667010054,None,17.583867667010054,None,17.35028058401076,None,5,0.9469935000233818,17.35028058401076,None,17.63419173359289,None,17.35028058401076,17.55116075000842,3.017777777777778,0.9812737919855863,18.31960254200385,None,18.31960254200385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/pief_g.wav,0,4,4,1,,,,,,,,,,,,,,,,,,,,,19.551132541993866,None,19.551132541993866,None,19.551132541993866,None,19.31684829198639,None,5,2.1434508750098757,19.31684829198639,None,19.60051090058987,None,19.31684829198639,19.517064124986064,2.9555555555555557,0.7817169159825426,21.48637145900284,None,21.48637145900284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/p_schwa_g.wav,0,5,5,3,,,,,,,,,,,,,,,,,,,,,22.517069124995032,None,22.517069124995032,None,22.517069124995032,None,22.283662583999103,None,6,1.9705683329957537,22.283662583999103,None,22.5667003585957,None,22.283662583999103,22.484633000014583,2.9555555555555557,0.46473220898769796,24.285310334002133,None,24.285310334002133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/fof_g.wav,0,6,6,4,,,,,,,,,,,,,,,,,,,,,25.000897124991752,None,25.000897124991752,None,25.000897124991752,None,24.767333583993604,None,7,1.3330555410066154,24.767333583993604,None,25.050698233605363,None,24.767333583993604,24.967883584002266,2.9555555555555557,0.4314094169822056,26.118730541988043,None,26.118730541988043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
stim/fief_g.wav,0,7,7,5,,,,,,,,,,,,,,,,,,,,,26.801474917010637,None,26.801474917010637,None,26.801474917010637,None,26.567370292003034,None,7,0.6248815410071984,26.567370292003034,None,26.851470150589012,None,26.567370292003034,26.767012416996295,2.9555555555555557,0.4150674999982584,27.218434874986997,None,27.218434874986997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_29_1609,exp_mono_sp,2021.2.3,59.78735145159349,
